iter	Passed	Remaining
0	4	820
1	7	786
2	11	754
3	15	736
4	18	714
5	21	708
6	25	714
7	29	696
8	32	688
9	35	676
10	39	677
11	42	670
12	45	660
13	49	654
14	52	648
15	56	646
16	59	641
17	63	638
18	66	631
19	69	625
20	73	627
21	76	622
22	80	616
23	83	609
24	86	606
25	89	600
26	93	597
27	96	592
28	99	588
29	104	589
30	107	584
31	110	580
32	113	575
33	117	572
34	120	569
35	123	564
36	127	560
37	130	556
38	134	555
39	137	551
40	141	548
41	144	543
42	147	539
43	151	535
44	154	531
45	157	527
46	160	523
47	165	523
48	168	520
49	171	515
50	175	511
51	179	509
52	182	505
53	185	502
54	188	498
55	192	495
56	196	492
57	199	488
58	202	484
59	206	481
60	210	479
61	214	477
62	218	474
63	221	471
64	226	470
65	230	468
66	234	464
67	238	462
68	243	462
69	248	460
70	251	457
71	256	455
72	260	453
73	264	450
74	267	446
75	271	442
76	275	439
77	278	434
78	281	431
79	284	426
80	306	450
81	310	446
82	313	442
83	333	460
84	336	455
85	339	450
86	342	445
87	345	440
88	367	458
89	370	453
90	374	448
91	377	443
92	381	438
93	384	433
94	387	428
95	390	423
96	395	419
97	398	414
98	401	409
99	404	404
100	408	400
101	411	395
102	414	390
103	417	385
104	421	380
105	424	376
106	427	371
107	431	367
108	434	362
109	437	357
110	440	353
111	443	348
112	447	344
113	450	339
114	454	336
115	458	331
116	461	327
117	464	322
118	467	318
119	471	314
120	474	309
121	477	305
122	480	300
123	492	302
124	496	297
125	500	293
126	504	289
127	507	285
128	510	280
129	514	276
130	517	272
131	520	268
132	523	263
133	526	259
134	529	254
135	533	251
136	537	246
137	540	242
138	543	238
139	547	234
140	550	230
141	553	226
142	557	222
143	560	217
144	564	213
145	567	209
146	570	205
147	573	201
148	577	197
149	580	193
150	584	189
151	587	185
152	590	181
153	594	177
154	598	173
155	601	169
156	604	165
157	607	161
158	611	157
159	614	153
160	617	149
161	621	145
162	624	141
163	628	137
164	631	133
165	634	129
166	637	125
167	641	122
168	644	118
169	647	114
170	651	110
171	654	106
172	658	102
173	661	98
174	664	94
175	667	91
176	671	87
177	675	83
178	678	79
179	682	75
180	686	72
181	689	68
182	692	64
183	695	60
184	698	56
185	702	52
186	705	49
187	708	45
188	711	41
189	715	37
190	718	33
191	722	30
192	724	26
193	728	22
194	731	18
195	734	14
196	737	11
197	740	7
198	744	3
199	747	0
